"","Paradigm","Mouse","Behavior","E.phy","YokedTo","Conflict","APA","Tube","Slice","Punch","notes.mouse","photos","notes.slice","notes.punch","Date","time","Slice.collector","Punch.Collector","SliceSize","Punchsize","location","RNAisolationdate","RNAisolator","location.1","best.location","samples","jobnumber","RNAseqID"
"1","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HF",1,"CA4","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"2","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HG",2,"CA4","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"3","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HH",3,"CA4","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"4","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HI",4,"DG","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"5","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HJ",3,"DG","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"6","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HK",2,"DG","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"7","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HL",1,"DG","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"8","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HM",1,"CA1","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"9","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HN",2,"CA1","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
"10","Training + Conflict","15-142A","Good","NG","15-142B","Conflict","Trained","HO",3,"CA1","trained conflict","","","","7/2/15","","MK","RMH","300",250,"Centered on cell layer","","","",NA,NA,"",""
